Material,theta,h,log_h,C,K,log_K,S
1,0.4299,-2.01,0.303,0.01139,0.4939,-0.3064,0.9997
1,0.4261,-2.31,0.3636,0.01403,0.4573,-0.3398,0.9898
1,0.4207,-2.66,0.4242,0.0171,0.4142,-0.3828,0.9758
1,0.4132,-3.05,0.4848,0.02051,0.3648,-0.4379,0.9564
1,0.403,-3.51,0.5455,0.02411,0.3101,-0.5086,0.9298
1,0.3894,-4.04,0.6061,0.02756,0.2522,-0.5983,0.8944
1,0.3718,-4.64,0.6667,0.030410000000000003,0.1945,-0.7111,0.8488
1,0.3499,-5.34,0.7273,0.03213,0.141,-0.8509,0.7921
1,0.3241,-6.14,0.7879,0.03227,0.09532,-1.021,0.7249
1,0.2951,-7.05,0.8485,0.030680000000000002,0.059910000000000005,-1.2229999999999999,0.6495
1,0.2642,-8.11,0.9091,0.02756,0.035,-1.456,0.5694
1,0.2332,-9.33,0.9697,0.023459999999999998,0.0191,-1.719,0.4889
1,0.2036,-10.7,1.03,0.01902,0.009814,-2.008,0.412
1,0.1766,-12.3,1.091,0.01481,0.004796,-2.319,0.3418
1,0.1528,-14.2,1.1520000000000001,0.01116,0.002252,-2.647,0.28
1,0.1325,-16.3,1.212,0.008197,0.001026,-2.989,0.2272
1,0.1154,-18.7,1.273,0.005909,0.00045670000000000004,-3.34,0.183
1,0.1014,-21.5,1.3330000000000002,0.004202,0.0002,-3.699,0.1466
1,0.09,-24.8,1.3940000000000001,0.0029579999999999997,8.653e-05,-4.063,0.117
1,0.0808,-28.5,1.455,0.002068,3.713e-05,-4.43,0.0931
1,0.0735,-32.7,1.515,0.001439,1.584e-05,-4.8,0.074
1,0.0676,-37.6,1.5759999999999998,0.0009975,6.7289999999999994e-06,-5.172000000000001,0.0587
1,0.0629,-43.3,1.636,0.0006899,2.8510000000000003e-06,-5.545,0.0465
1,0.0592,-49.8,1.6969999999999998,0.0004763999999999999,1.205e-06,-5.919,0.0368
1,0.0562,-57.2,1.758,0.0003286,5.09e-07,-6.292999999999999,0.0292
1,0.0539,-65.8,1.818,0.00022640000000000003,2.1469999999999998e-07,-6.667999999999999,0.0231
1,0.052,-75.6,1.879,0.000156,9.051000000000001e-08,-7.042999999999999,0.0183
1,0.0506,-87.0,1.939,0.00010740000000000001,3.8139999999999996e-08,-7.419,0.0145
1,0.0494,-100.0,2.0,7.393e-05,1.607e-08,-7.794,0.0114
1,0.0485,-115.0,2.061,5.088e-05,6.766e-09,-8.17,0.009
1,0.0478,-132.0,2.121,3.502e-05,2.849e-09,-8.545,0.0072
1,0.0472,-152.0,2.182,2.409e-05,1.2e-09,-8.921,0.0057
1,0.0467,-175.0,2.242,1.658e-05,5.051e-10,-9.297,0.0045
1,0.0464,-201.0,2.303,1.141e-05,2.1260000000000002e-10,-9.672,0.0035
1,0.0461,-231.0,2.364,7.848e-06,8.952e-11,-10.05,0.0028
1,0.0459,-266.0,2.424,5.4e-06,3.7689999999999995e-11,-10.42,0.0022
1,0.0457,-305.0,2.485,3.715e-06,1.587e-11,-10.8,0.0018
1,0.0455,-351.0,2.545,2.5559999999999998e-06,6.678999999999999e-12,-11.18,0.0014
1,0.0454,-404.0,2.6060000000000003,1.7580000000000002e-06,2.812e-12,-11.55,0.0011
1,0.0453,-464.0,2.667,1.21e-06,1.1840000000000002e-12,-11.93,0.0009
1,0.0453,-534.0,2.727,8.323000000000001e-07,4.982e-13,-12.3,0.0007
1,0.0452,-614.0,2.7880000000000003,5.726e-07,2.097e-13,-12.68,0.0005
1,0.0452,-705.0,2.8480000000000003,3.939e-07,8.829e-14,-13.05,0.0004
1,0.0451,-811.0,2.909,2.7100000000000003e-07,3.717e-14,-13.43,0.0003
1,0.0451,-933.0,2.97,1.8649999999999998e-07,1.565e-14,-13.81,0.0003
1,0.0451,-1070.0,3.03,1.283e-07,6.587000000000001e-15,-14.18,0.0002
1,0.0451,-1230.0,3.091,8.825e-08,2.773e-15,-14.56,0.0002
1,0.0451,-1420.0,3.1519999999999997,6.072e-08,1.167e-15,-14.93,0.0001
1,0.045,-1630.0,3.2119999999999997,4.1769999999999996e-08,4.914e-16,-15.31,0.0001
1,0.045,-1870.0,3.273,2.8739999999999998e-08,2.068e-16,-15.68,0.0001
1,0.045,-2150.0,3.333,1.9769999999999998e-08,8.707e-17,-16.06,0.0001
1,0.045,-2480.0,3.3939999999999997,1.3600000000000001e-08,3.665e-17,-16.44,0.0001
1,0.045,-2850.0,3.455,9.358e-09,1.543e-17,-16.81,0.0
1,0.045,-3270.0,3.515,6.438e-09,6.495e-18,-17.19,0.0
1,0.045,-3760.0,3.576,4.429e-09,2.7339999999999995e-18,-17.56,0.0
1,0.045,-4330.0,3.636,3.0470000000000003e-09,1.1509999999999999e-18,-17.94,0.0
1,0.045,-4980.0,3.697,2.096e-09,4.845e-19,-18.31,0.0
1,0.045,-5720.0,3.758,1.442e-09,2.0399999999999996e-19,-18.69,0.0
1,0.045,-6580.0,3.818,9.923e-10,8.587e-20,-19.07,0.0
1,0.045,-7560.0,3.8789999999999996,6.827000000000001e-10,3.615e-20,-19.44,0.0
1,0.045,-8700.0,3.9389999999999996,4.696999999999999e-10,1.5219999999999997e-20,-19.82,0.0
1,0.045,-10000.0,4.0,3.2310000000000005e-10,6.405e-21,-20.19,0.0
2,0.39,-0.0132,-1.879,0.0,0.002183,-2.661,1.0
2,0.39,-0.0152,-1.818,0.0,0.002183,-2.661,1.0
2,0.39,-0.0175,-1.758,0.0,0.002183,-2.661,1.0
2,0.39,-0.0201,-1.6969999999999998,0.0,0.002183,-2.661,1.0
2,0.39,-0.0231,-1.636,0.0,0.002183,-2.661,1.0
2,0.39,-0.0266,-1.5759999999999998,0.0,0.002183,-2.661,1.0
2,0.39,-0.0305,-1.515,0.0,0.002183,-2.661,1.0
2,0.39,-0.0351,-1.455,0.0,0.002183,-2.661,1.0
2,0.39,-0.0404,-1.3940000000000001,0.0,0.002183,-2.661,1.0
2,0.39,-0.0464,-1.3330000000000002,0.0,0.002183,-2.661,1.0
2,0.39,-0.0534,-1.273,0.0,0.002183,-2.661,1.0
2,0.39,-0.0614,-1.212,0.0,0.002183,-2.661,1.0
2,0.39,-0.0705,-1.1520000000000001,0.0,0.002183,-2.661,1.0
2,0.39,-0.0811,-1.091,0.0,0.002183,-2.661,1.0
2,0.39,-0.0933,-1.03,0.0,0.002183,-2.661,1.0
2,0.39,-0.107,-0.9697,0.0,0.002183,-2.661,1.0
2,0.39,-0.12300000000000001,-0.9091,0.0,0.002183,-2.661,1.0
2,0.39,-0.142,-0.8485,0.0,0.002183,-2.661,1.0
2,0.39,-0.163,-0.7879,0.0,0.002183,-2.661,1.0
2,0.39,-0.187,-0.7273,0.0,0.002183,-2.661,1.0
2,0.39,-0.215,-0.6667,0.0,0.002183,-2.661,1.0
2,0.39,-0.248,-0.6061,0.0,0.002183,-2.661,1.0
2,0.39,-0.285,-0.5455,0.0,0.002183,-2.661,1.0
2,0.39,-0.327,-0.4848,0.0,0.002183,-2.661,1.0
2,0.39,-0.376,-0.4242,0.0,0.002183,-2.661,1.0
2,0.39,-0.433,-0.3636,0.0,0.002183,-2.661,1.0
2,0.39,-0.498,-0.303,0.0,0.002183,-2.661,1.0
2,0.39,-0.5720000000000001,-0.2424,0.0,0.002183,-2.661,1.0
2,0.39,-0.6579999999999999,-0.1818,0.0,0.002183,-2.661,1.0
2,0.39,-0.7559999999999999,-0.1212,0.0,0.002183,-2.661,1.0
2,0.39,-0.87,-0.060610000000000004,0.0,0.002183,-2.661,1.0
2,0.39,-1.0,0.0,0.0,0.002183,-2.661,1.0
2,0.39,-1.15,0.060610000000000004,0.0,0.002183,-2.661,1.0
2,0.39,-1.32,0.1212,0.0,0.002183,-2.661,1.0
2,0.39,-1.52,0.1818,0.0,0.002183,-2.661,1.0
2,0.39,-1.75,0.2424,0.0,0.002183,-2.661,1.0
2,0.39,-2.01,0.303,0.00283,0.0021780000000000002,-2.662,0.9999
2,0.3891,-2.31,0.3636,0.002989,0.00202,-2.695,0.9969
2,0.388,-2.66,0.4242,0.003148,0.001859,-2.7310000000000003,0.9932
2,0.3868,-3.05,0.4848,0.0033060000000000003,0.001697,-2.77,0.9888
2,0.3852,-3.51,0.5455,0.003457,0.001535,-2.8139999999999996,0.9835
2,0.3833,-4.04,0.6061,0.0036,0.001375,-2.862,0.9771
2,0.3811,-4.64,0.6667,0.003728,0.001217,-2.915,0.9694
2,0.3785,-5.34,0.7273,0.003836,0.001065,-2.9730000000000003,0.9603
2,0.3754,-6.14,0.7879,0.003918,0.0009187000000000002,-3.037,0.9496
2,0.3718,-7.05,0.8485,0.0039689999999999994,0.0007812,-3.1069999999999998,0.9371
2,0.3676,-8.11,0.9091,0.003982,0.000654,-3.1839999999999997,0.9226
2,0.3627,-9.33,0.9697,0.003953,0.0005384,-3.2689999999999997,0.906
2,0.3573,-10.7,1.03,0.003879,0.00043550000000000007,-3.361,0.8871
2,0.3511,-12.3,1.091,0.0037579999999999996,0.0003458,-3.4610000000000003,0.866
2,0.3443,-14.2,1.1520000000000001,0.003593,0.0002696,-3.569,0.8426
2,0.3369,-16.3,1.212,0.0033880000000000004,0.00020619999999999997,-3.6860000000000004,0.817
2,0.329,-18.7,1.273,0.00315,0.00015490000000000002,-3.81,0.7895
2,0.3205,-21.5,1.3330000000000002,0.002888,0.00011420000000000001,-3.9419999999999997,0.7603
2,0.3116,-24.8,1.3940000000000001,0.002611,8.278e-05,-4.082,0.7297
2,0.3025,-28.5,1.455,0.0023309999999999997,5.904e-05,-4.229,0.6982
2,0.2931,-32.7,1.515,0.002055,4.149e-05,-4.382,0.666
2,0.2837,-37.6,1.5759999999999998,0.0017920000000000002,2.877e-05,-4.541,0.6335
2,0.2743,-43.3,1.636,0.001547,1.971e-05,-4.705,0.6011
2,0.2651,-49.8,1.6969999999999998,0.001323,1.336e-05,-4.874,0.5692
2,0.256,-57.2,1.758,0.001123,8.969e-06,-5.047,0.5378
2,0.2471,-65.8,1.818,0.0009464,5.975e-06,-5.224,0.5074
2,0.2386,-75.6,1.879,0.0007928999999999999,3.954e-06,-5.403,0.478
2,0.2304,-87.0,1.939,0.000661,2.601e-06,-5.585,0.4497
2,0.2226,-100.0,2.0,0.0005487000000000001,1.703e-06,-5.769,0.4227
2,0.2151,-115.0,2.061,0.0004538,1.11e-06,-5.954,0.3969
2,0.208,-132.0,2.121,0.00037430000000000005,7.216e-07,-6.142,0.3724
2,0.2013,-152.0,2.182,0.00030789999999999995,4.6770000000000004e-07,-6.33,0.3493
2,0.1949,-175.0,2.242,0.0002528,3.024e-07,-6.519,0.3274
2,0.189,-201.0,2.303,0.0002072,1.9510000000000002e-07,-6.71,0.3068
2,0.1833,-231.0,2.364,0.0001696,1.257e-07,-6.901,0.2873
2,0.178,-266.0,2.424,0.00013859999999999998,8.09e-08,-7.0920000000000005,0.269
2,0.173,-305.0,2.485,0.00011320000000000001,5.2e-08,-7.284,0.2519
2,0.1684,-351.0,2.545,9.242e-05,3.34e-08,-7.476,0.2357
2,0.164,-404.0,2.6060000000000003,7.538e-05,2.1440000000000002e-08,-7.669,0.2206
2,0.1599,-464.0,2.667,6.145e-05,1.375e-08,-7.862,0.2064
2,0.156,-534.0,2.727,5.008e-05,8.816000000000001e-09,-8.055,0.1931
2,0.1524,-614.0,2.7880000000000003,4.079e-05,5.649999999999999e-09,-8.248,0.1807
2,0.149,-705.0,2.8480000000000003,3.322e-05,3.62e-09,-8.441,0.169
2,0.1459,-811.0,2.909,2.705e-05,2.319e-09,-8.635,0.1581
2,0.1429,-933.0,2.97,2.202e-05,1.485e-09,-8.828,0.1479
2,0.1401,-1070.0,3.03,1.792e-05,9.508e-10,-9.022,0.1383
2,0.1375,-1230.0,3.091,1.459e-05,6.087000000000001e-10,-9.216000000000001,0.1294
2,0.1351,-1420.0,3.1519999999999997,1.187e-05,3.8960000000000003e-10,-9.408999999999999,0.121
2,0.1328,-1630.0,3.2119999999999997,9.657000000000001e-06,2.494e-10,-9.603,0.1132
2,0.1307,-1870.0,3.273,7.858e-06,1.596e-10,-9.797,0.1059
2,0.1287,-2150.0,3.333,6.393e-06,1.0219999999999999e-10,-9.991,0.099
2,0.1269,-2480.0,3.3939999999999997,5.201e-06,6.538e-11,-10.18,0.0926
2,0.1251,-2850.0,3.455,4.231e-06,4.184e-11,-10.38,0.0866
2,0.1235,-3270.0,3.515,3.442e-06,2.6770000000000002e-11,-10.57,0.081
2,0.122,-3760.0,3.576,2.8e-06,1.713e-11,-10.77,0.0758
2,0.1205,-4330.0,3.636,2.278e-06,1.0960000000000002e-11,-10.96,0.0708
2,0.1192,-4980.0,3.697,1.853e-06,7.013999999999999e-12,-11.15,0.0663
2,0.118,-5720.0,3.758,1.507e-06,4.488000000000001e-12,-11.35,0.062
2,0.1168,-6580.0,3.818,1.226e-06,2.872e-12,-11.54,0.058
2,0.1157,-7560.0,3.8789999999999996,9.972e-07,1.838e-12,-11.74,0.0542
2,0.1147,-8700.0,3.9389999999999996,8.112000000000001e-07,1.176e-12,-11.93,0.0507
2,0.1137,-10000.0,4.0,6.598e-07,7.523e-13,-12.12,0.0474
3,0.43,-0.0132,-1.879,0.0,2.0,0.301,1.0
3,0.43,-0.0152,-1.818,0.0,2.0,0.301,1.0
3,0.43,-0.0175,-1.758,0.0,2.0,0.301,1.0
3,0.43,-0.0201,-1.6969999999999998,0.0,2.0,0.301,1.0
3,0.43,-0.0231,-1.636,0.0,2.0,0.301,1.0
3,0.43,-0.0266,-1.5759999999999998,0.0,2.0,0.301,1.0
3,0.43,-0.0305,-1.515,0.0,2.0,0.301,1.0
3,0.43,-0.0351,-1.455,0.0,2.0,0.301,1.0
3,0.43,-0.0404,-1.3940000000000001,0.0,2.0,0.301,1.0
3,0.43,-0.0464,-1.3330000000000002,0.0,2.0,0.301,1.0
3,0.43,-0.0534,-1.273,0.0,2.0,0.301,1.0
3,0.43,-0.0614,-1.212,0.0,2.0,0.301,1.0
3,0.43,-0.0705,-1.1520000000000001,0.0,2.0,0.301,1.0
3,0.43,-0.0811,-1.091,0.0,2.0,0.301,1.0
3,0.43,-0.0933,-1.03,0.0,2.0,0.301,1.0
3,0.43,-0.107,-0.9697,0.0,2.0,0.301,1.0
3,0.43,-0.12300000000000001,-0.9091,0.0,2.0,0.301,1.0
3,0.43,-0.142,-0.8485,0.0,2.0,0.301,1.0
3,0.43,-0.163,-0.7879,0.0,2.0,0.301,1.0
3,0.43,-0.187,-0.7273,0.0,2.0,0.301,1.0
3,0.43,-0.215,-0.6667,0.0,2.0,0.301,1.0
3,0.43,-0.248,-0.6061,0.0,2.0,0.301,1.0
3,0.43,-0.285,-0.5455,0.0,2.0,0.301,1.0
3,0.43,-0.327,-0.4848,0.0,2.0,0.301,1.0
3,0.43,-0.376,-0.4242,0.0,2.0,0.301,1.0
3,0.43,-0.433,-0.3636,0.0,2.0,0.301,1.0
3,0.43,-0.498,-0.303,0.0,2.0,0.301,1.0
3,0.43,-0.5720000000000001,-0.2424,0.0,2.0,0.301,1.0
3,0.43,-0.6579999999999999,-0.1818,0.0,2.0,0.301,1.0
3,0.43,-0.7559999999999999,-0.1212,0.0,2.0,0.301,1.0
3,0.43,-0.87,-0.060610000000000004,0.0,2.0,0.301,1.0
3,0.43,-1.0,0.0,0.0,2.0,0.301,1.0
3,0.43,-1.15,0.060610000000000004,0.0,2.0,0.301,1.0
3,0.43,-1.32,0.1212,0.0,2.0,0.301,1.0
3,0.43,-1.52,0.1818,0.0,2.0,0.301,1.0
3,0.43,-1.75,0.2424,0.0,2.0,0.301,1.0
3,0.4299,-2.01,0.303,0.01139,1.996,0.3001,0.9997
3,0.4261,-2.31,0.3636,0.01403,1.848,0.2666,0.9898
3,0.4207,-2.66,0.4242,0.0171,1.6740000000000002,0.2237,0.9758
3,0.4132,-3.05,0.4848,0.02051,1.474,0.1685,0.9564
3,0.403,-3.51,0.5455,0.02411,1.253,0.09787,0.9298
3,0.3894,-4.04,0.6061,0.02756,1.0190000000000001,0.008147,0.8944
3,0.3718,-4.64,0.6667,0.030410000000000003,0.7858,-0.1047,0.8488
3,0.3499,-5.34,0.7273,0.03213,0.5695,-0.2445,0.7921
3,0.3241,-6.14,0.7879,0.03227,0.3851,-0.4144,0.7249
3,0.2951,-7.05,0.8485,0.030680000000000002,0.242,-0.6161,0.6495
3,0.2642,-8.11,0.9091,0.02756,0.1414,-0.8495,0.5694
3,0.2332,-9.33,0.9697,0.023459999999999998,0.07717,-1.113,0.4889
3,0.2036,-10.7,1.03,0.01902,0.03965,-1.402,0.412
3,0.1766,-12.3,1.091,0.01481,0.01938,-1.713,0.3418
3,0.1528,-14.2,1.1520000000000001,0.01116,0.0091,-2.041,0.28
3,0.1325,-16.3,1.212,0.008197,0.004145,-2.383,0.2272
3,0.1154,-18.7,1.273,0.005909,0.0018449999999999999,-2.734,0.183
3,0.1014,-21.5,1.3330000000000002,0.004202,0.0008079000000000001,-3.093,0.1466
3,0.09,-24.8,1.3940000000000001,0.0029579999999999997,0.00034960000000000004,-3.4560000000000004,0.117
3,0.0808,-28.5,1.455,0.002068,0.00015,-3.824,0.0931
3,0.0735,-32.7,1.515,0.001439,6.4e-05,-4.194,0.074
3,0.0676,-37.6,1.5759999999999998,0.0009975,2.719e-05,-4.566,0.0587
3,0.0629,-43.3,1.636,0.0006899,1.152e-05,-4.939,0.0465
3,0.0592,-49.8,1.6969999999999998,0.0004763999999999999,4.87e-06,-5.312,0.0368
3,0.0562,-57.2,1.758,0.0003286,2.056e-06,-5.687,0.0292
3,0.0539,-65.8,1.818,0.00022640000000000003,8.675e-07,-6.062,0.0231
3,0.052,-75.6,1.879,0.000156,3.657e-07,-6.437,0.0183
3,0.0506,-87.0,1.939,0.00010740000000000001,1.541e-07,-6.812,0.0145
3,0.0494,-100.0,2.0,7.393e-05,6.491e-08,-7.188,0.0114
3,0.0485,-115.0,2.061,5.088e-05,2.734e-08,-7.563,0.009
3,0.0478,-132.0,2.121,3.502e-05,1.151e-08,-7.939,0.0072
3,0.0472,-152.0,2.182,2.409e-05,4.847e-09,-8.315,0.0057
3,0.0467,-175.0,2.242,1.658e-05,2.041e-09,-8.69,0.0045
3,0.0464,-201.0,2.303,1.141e-05,8.592000000000001e-10,-9.066,0.0035
3,0.0461,-231.0,2.364,7.848e-06,3.617e-10,-9.442,0.0028
3,0.0459,-266.0,2.424,5.4e-06,1.523e-10,-9.817,0.0022
3,0.0457,-305.0,2.485,3.715e-06,6.409999999999999e-11,-10.19,0.0018
3,0.0455,-351.0,2.545,2.5559999999999998e-06,2.699e-11,-10.57,0.0014
3,0.0454,-404.0,2.6060000000000003,1.7580000000000002e-06,1.1359999999999998e-11,-10.94,0.0011
3,0.0453,-464.0,2.667,1.21e-06,4.7820000000000004e-12,-11.32,0.0009
3,0.0453,-534.0,2.727,8.323000000000001e-07,2.013e-12,-11.7,0.0007
3,0.0452,-614.0,2.7880000000000003,5.726e-07,8.475e-13,-12.07,0.0005
3,0.0452,-705.0,2.8480000000000003,3.939e-07,3.567e-13,-12.45,0.0004
3,0.0451,-811.0,2.909,2.7100000000000003e-07,1.502e-13,-12.82,0.0003
3,0.0451,-933.0,2.97,1.8649999999999998e-07,6.322000000000001e-14,-13.2,0.0003
3,0.0451,-1070.0,3.03,1.283e-07,2.6610000000000003e-14,-13.57,0.0002
3,0.0451,-1230.0,3.091,8.825e-08,1.12e-14,-13.95,0.0002
3,0.0451,-1420.0,3.1519999999999997,6.072e-08,4.715999999999999e-15,-14.33,0.0001
3,0.045,-1630.0,3.2119999999999997,4.1769999999999996e-08,1.985e-15,-14.7,0.0001
3,0.045,-1870.0,3.273,2.8739999999999998e-08,8.357000000000001e-16,-15.08,0.0001
3,0.045,-2150.0,3.333,1.9769999999999998e-08,3.518e-16,-15.45,0.0001
3,0.045,-2480.0,3.3939999999999997,1.3600000000000001e-08,1.4809999999999998e-16,-15.83,0.0001
3,0.045,-2850.0,3.455,9.358e-09,6.233999999999999e-17,-16.21,0.0
3,0.045,-3270.0,3.515,6.438e-09,2.6240000000000002e-17,-16.58,0.0
3,0.045,-3760.0,3.576,4.429e-09,1.105e-17,-16.96,0.0
3,0.045,-4330.0,3.636,3.0470000000000003e-09,4.651e-18,-17.33,0.0
3,0.045,-4980.0,3.697,2.096e-09,1.958e-18,-17.71,0.0
3,0.045,-5720.0,3.758,1.442e-09,8.241e-19,-18.08,0.0
3,0.045,-6580.0,3.818,9.923e-10,3.469e-19,-18.46,0.0
3,0.045,-7560.0,3.8789999999999996,6.827000000000001e-10,1.4599999999999998e-19,-18.84,0.0
3,0.045,-8700.0,3.9389999999999996,4.696999999999999e-10,6.148e-20,-19.21,0.0
3,0.045,-10000.0,4.0,3.2310000000000005e-10,2.588e-20,-19.59,0.0
